Wallet ID,Row,Timestamp (UTC),Description,Currency,Balance delta,Available balance delta,Balance,Available balance,Cryptocurrency transaction ID,Cryptocurrency address,Value
6605893411105279123,1,2017-12-18 06:07:54,"Bought ETH 0.08507756 for ZAR 1,000.00",ETH,0.08507756,0.08507756,0.08507756,0.08507756,,,
6605893411105279123,2,2017-12-20 04:02:48,"Bought ETH 0.07329263 for ZAR 1,000.00",ETH,0.07329263,0.07329263,0.15837019,0.15837019,,,
6605893411105279123,3,2018-01-10 03:46:50,Sold ETH 0.052 for ZAR 986.78,ETH,-0.052,-0.052,0.10637019,0.10637019,,,
6605893411105279123,4,2018-01-16 07:20:30,Bought ETH 0.05370168 for ZAR 900.00,ETH,0.05370168,0.05370168,0.16007187,0.16007187,,,
6605893411105279123,5,2018-01-16 08:13:16,Bought ETH 0.00577365 for ZAR 86.78,ETH,0.00577365,0.00577365,0.16584552,0.16584552,,,
6605893411105279123,6,2018-01-21 19:48:47,Sold ETH 0.02809847 for ZAR 400.00,ETH,-0.02809847,-0.02809847,0.13774705,0.13774705,,,
6605893411105279123,7,2018-01-31 11:43:52,Bought ETH 0.02846483 for ZAR 400.00,ETH,0.02846483,0.02846483,0.16621188,0.16621188,,,
6605893411105279123,8,2018-02-21 08:42:23,Bought ETH 0.04472988 for ZAR 500.00,ETH,0.04472988,0.04472988,0.21094176,0.21094176,,,
6605893411105279123,9,2018-03-20 05:03:55,Sold ETH 0.10 for BTC 0.0061887,ETH,-0.10,-0.10,0.11094176,0.11094176,,,
6605893411105279123,10,2018-03-21 08:47:10,Bought ETH 0.04121238 for ZAR 300.00,ETH,0.04121238,0.04121238,0.15215414,0.15215414,,,
6605893411105279123,11,2018-04-12 12:26:54,Bought ETH 0.08926924 for ZAR 500.00,ETH,0.08926924,0.08926924,0.24142338,0.24142338,,,
6605893411105279123,12,2018-04-13 05:53:38,Sold ETH 0.05174237 for ZAR 300.00,ETH,-0.05174237,-0.05174237,0.18968101,0.18968101,,,
6605893411105279123,13,2018-04-13 10:44:52,Sold ETH 0.03226417 for ZAR 200.00,ETH,-0.03226417,-0.03226417,0.15741684,0.15741684,,,
6605893411105279123,14,2018-04-14 04:51:35,Bought ETH 0.03150042 for ZAR 200.00,ETH,0.03150042,0.03150042,0.18891726,0.18891726,,,
6605893411105279123,15,2018-04-22 05:38:03,Bought ETH 0.01062139 for ZAR 83.30,ETH,0.01062139,0.01062139,0.19953865,0.19953865,,,
6605893411105279123,16,2018-04-24 12:59:45,Sold ETH 0.02290393 for ZAR 200.00,ETH,-0.02290393,-0.02290393,0.17663472,0.17663472,,,
6605893411105279123,17,2018-05-03 09:48:01,Bought ETH 0.05346225 for ZAR 500.00,ETH,0.05346225,0.05346225,0.23009697,0.23009697,,,
6605893411105279123,18,2018-07-18 16:41:35,Bought ETH 0.08226958 for ZAR 570.00,ETH,0.08226958,0.08226958,0.31236655,0.31236655,,,
6605893411105279123,19,2018-07-20 08:17:00,Bought ETH 0.06079062 for ZAR 400.00,ETH,0.06079062,0.06079062,0.37315717,0.37315717,,,
6605893411105279123,20,2018-09-01 03:55:09,Sold ETH 0.37315 for BTC 0.01491935,ETH,-0.37315,-0.37315,0.00000717,0.00000717,,,
6605893411105279123,21,2018-09-03 09:14:09,Bought ETH 0.11367302 for ZAR 500.00,ETH,0.11367302,0.11367302,0.11368019,0.11368019,,,
6605893411105279123,22,2018-11-02 15:47:00,Sold BTC 0.0156 for ETH 0.48552755,ETH,0.48552755,0.48552755,0.59920774,0.59920774,,,
6605893411105279123,23,2019-05-14 07:03:11,Bought ETH 0.21062425 for ZAR 682.85,ETH,0.21062425,0.21062425,0.80983199,0.80983199,,,
6605893411105279123,24,2019-06-21 06:42:09,Sold ETH 0.80983 for BTC 0.02335674,ETH,-0.80983,-0.80983,0.00000199,0.00000199,,,
6605893411105279123,25,2019-06-27 05:13:40,"Bought ETH 0.19406356 for ZAR 1,000.00",ETH,0.19406356,0.19406356,0.19406555,0.19406555,,,
6605893411105279123,26,2019-07-31 09:55:42,Reserved funds for order BXGZ4UAUU9WDS3Q,ETH,0.00,-0.194,0.19406555,0.00006555,,,
